date	ouv	haut	bas	clot	vol	devise	
27/02/2009 00:00	35.16	35.16	30.11	30.14	7729	EUR	
31/03/2009 00:00	29.35	33.085	27.545	31.64	100642	EUR	
30/04/2009 00:00	31.115	36.905	31.115	36.56	91516	EUR	
29/05/2009 00:00	37.12	39.1	36.37	38.41	156731	EUR	
30/06/2009 00:00	39.92	39.92	36.99	37.685	248788	EUR	
31/07/2009 00:00	38.105	42.005	35.725	41.575	375603	EUR	
31/08/2009 00:00	42.28	44.355	40.895	43.85	213717	EUR	
30/09/2009 00:00	44.09	46.02	42.375	45.295	803040	EUR	
30/10/2009 00:00	45.37	46.73	43.4	43.435	896437	EUR	
30/11/2009 00:00	43.46	46.785	42.68	44.39	658961	EUR	
29/01/2010 00:00	47.4	48.17	43.6	44.12	1282249	EUR	
26/02/2010 00:00	43.79	45.15	41.62	43.41	1875650	EUR	
31/03/2010 00:00	43.95	47.205	43.61	46.665	1333867	EUR	
30/04/2010 00:00	46.915	48.07	43.98	44.935	1437613	EUR	
31/05/2010 00:00	44.695	45.18	39.73	42.415	3463849	EUR	
30/06/2010 00:00	42.015	45.45	40.3	41.97	1075934	EUR	
30/07/2010 00:00	41.335	45.585	40.855	44.71	1479644	EUR	
31/08/2010 00:00	45.165	46.51	41.815	42.37	724511	EUR	
30/09/2010 00:00	43.5	46.18	43.48	44.87	747044	EUR	
29/10/2010 00:00	45.02	47.29	44.03	46.53	1476308	EUR	
30/11/2010 00:00	46.905	47.545	43.35	43.495	1657957	EUR	
31/01/2011 00:00	46.365	49.435	45.31	48.62	1980411	EUR	
28/02/2011 00:00	49.06	50.67	48.345	49.615	1407960	EUR	
31/03/2011 00:00	49.93	50.015	44.82	47.92	2244248	EUR	
29/04/2011 00:00	48.32	49.835	46.735	49.835	1053107	EUR	
31/05/2011 00:00	50.18	50.18	46.805	48.25	2142149	EUR	
30/06/2011 00:00	48.4	48.44	45.52	48.195	3604011	EUR	
29/07/2011 00:00	48.205	48.835	44.195	45.225	6142903	EUR	
31/08/2011 00:00	45.835	45.845	35.32	38.99	5609274	EUR	
30/09/2011 00:00	39.115	39.345	33.015	37.01	2169492	EUR	
31/10/2011 00:00	35.865	42.63	35.1	40.545	2588711	EUR	
30/11/2011 00:00	39.335	40.34	35.305	39.76	2652784	EUR	
30/12/2011 00:00	39.66	41	37.35	39.615	1577975	EUR	
31/01/2012 00:00	39.68	42.19	39.04	41.395	1230581	EUR	
29/02/2012 00:00	41.655	43.8	41.655	43.025	1465930	EUR	
30/03/2012 00:00	42.91	44.785	41.89	42.48	904061	EUR	
30/04/2012 00:00	42.51	42.96	38.55	39.88	1593261	EUR	
31/05/2012 00:00	39.985	40.245	37.015	37.225	2205974	EUR	
29/06/2012 00:00	37.295	40.04	36.13	40.04	3754870	EUR	
31/07/2012 00:00	40.515	41.585	38	41.2	1781864	EUR	
31/08/2012 00:00	41.28	44.115	40.11	43.2	1498248	EUR	
28/09/2012 00:00	43.105	46.065	43.105	43.58	1022224	EUR	
31/10/2012 00:00	43.665	45.81	43.35	44.525	1123343	EUR	
30/11/2012 00:00	44.425	46.155	43.22	45.89	1619906	EUR	
31/01/2013 00:00	47.915	49.2	47.645	48.3	1435870	EUR	
28/02/2013 00:00	48.26	48.495	45.8	47.07	1723321	EUR	
28/03/2013 00:00	46.97	49.01	46.295	46.89	1160963	EUR	
30/04/2013 00:00	47.03	49.265	45.65	48.845	2428227	EUR	
31/05/2013 00:00	48.825	51.91	48.64	50.66	1573405	EUR	
28/06/2013 00:00	50.42	50.905	45.75	47.705	1185908	EUR	
31/07/2013 00:00	48.11	50.82	46.655	50.78	1052469	EUR	
30/08/2013 00:00	51.02	52.39	49.96	49.965	889502	EUR	
30/09/2013 00:00	50.665	54.215	50.035	53.195	889810	EUR	
31/10/2013 00:00	53.42	56.53	53.25	56.395	1939891	EUR	
29/11/2013 00:00	56.36	57.215	55.25	56.885	872874	EUR	
31/01/2014 00:00	57.7	58.645	54.835	55.75	1833138	EUR	
28/02/2014 00:00	55.835	58.45	54.47	58.14	1418910	EUR	
31/03/2014 00:00	57.1	58.96	54.975	58.575	682065	EUR	
30/04/2014 00:00	58.765	59.965	57.24	59.49	753511	EUR	
30/05/2014 00:00	59.42	61.31	58.46	61.255	705637	EUR	
30/06/2014 00:00	61.44	62.71	60.93	61.03	557232	EUR	
31/07/2014 00:00	61.25	62.18	58.905	59.035	959684	EUR	
29/08/2014 00:00	59.005	60.615	56.415	60.095	796415	EUR	
30/09/2014 00:00	60.195	62.475	59.855	61.14	1003224	EUR	
31/10/2014 00:00	61.005	61.295	52.97	59.07	1334446	EUR	
28/11/2014 00:00	58.945	61.785	57.53	61.78	1440595	EUR	
30/01/2015 00:00	60.42	65.16	57.19	64.02	1921320	EUR	
27/02/2015 00:00	64.02	68.77	63.5	68.77	1351993	EUR	
31/03/2015 00:00	68.7	71.48	67.59	70.745	1791643	EUR	
30/04/2015 00:00	70.29	73.405	68.75	69.525	3198618	EUR	
29/05/2015 00:00	69.525	71.675	67.15	69.45	3740230	EUR	
30/06/2015 00:00	69.735	71.155	65.855	66.73	5707374	EUR	
31/07/2015 00:00	67.265	72.445	64.235	70.28	2119848	EUR	
31/08/2015 00:00	70.275	71.815	58.4	63.87	2877281	EUR	
30/09/2015 00:00	62.9	64.85	58.47	60.58	4153477	EUR	
30/10/2015 00:00	61.26	67.48	59.36	66.89	2533499	EUR	
30/11/2015 00:00	66.34	69	65.125	68.695	3232598	EUR	
29/01/2016 00:00	62.225	62.74	56.04	59.73	4451287	EUR	
29/02/2016 00:00	59.725	59.815	52.645	57.855	3857860	EUR	
31/03/2016 00:00	57.715	61.435	57.715	59.15	2134456	EUR	
29/04/2016 00:00	58.135	62.23	56.335	59.915	1363112	EUR	
31/05/2016 00:00	60.31	62.12	57.65	61.535	1407481	EUR	
30/06/2016 00:00	61.435	61.74	53.99	57.775	4002836	EUR	
29/07/2016 00:00	58.215	60.855	55.33	60.35	1463520	EUR	
31/08/2016 00:00	60.87	61.895	58.365	61.09	706761	EUR	
30/09/2016 00:00	61.44	62.54	59.165	60.735	2257675	EUR	
31/10/2016 00:00	60.455	62.975	59.945	61.91	1965527	EUR	
30/11/2016 00:00	62.21	62.85	59.5	61.845	2546028	EUR	
30/12/2016 00:00	61.555	66.94	60.5	66.775	2325809	EUR	
31/01/2017 00:00	66.54	67.825	65.715	65.715	1890969	EUR	
28/02/2017 00:00	66.405	68.295	65.46	67.59	1762179	EUR	
